PackageName,KnownBadVersion,ThreatDescription,Source
@markvivanco/app-version-checker,1.0.2,ShaiHulud,KOI
@mcp-use/cli,2.2.6,ShaiHulud,KOI
@mcp-use/cli,2.2.7,ShaiHulud,KOI
@mcp-use/inspector,0.6.2,ShaiHulud,KOI
@mcp-use/inspector,0.6.3,ShaiHulud,KOI
@mcp-use/mcp-use,1.0.1,ShaiHulud,KOI
@mcp-use/mcp-use,1.0.2,ShaiHulud,KOI
@micado-digital/stadtmarketing-kufstein-external,1.9.1,ShaiHulud,KOI
@ntnx/passport-wso2,0.0.3,ShaiHulud,KOI
@ntnx/t,0.0.101,ShaiHulud,KOI
@oku-ui/accordion,0.6.2,ShaiHulud,KOI
@oku-ui/alert-dialog,0.6.2,ShaiHulud,KOI
@oku-ui/arrow,0.6.2,ShaiHulud,KOI
@oku-ui/aspect-ratio,0.6.2,ShaiHulud,KOI
@oku-ui/avatar,0.6.2,ShaiHulud,KOI
@oku-ui/checkbox,0.6.3,ShaiHulud,KOI
@oku-ui/collapsible,0.6.2,ShaiHulud,KOI
@oku-ui/collection,0.6.2,ShaiHulud,KOI
@oku-ui/dialog,0.6.2,ShaiHulud,KOI
@oku-ui/direction,0.6.2,ShaiHulud,KOI
@oku-ui/dismissable-layer,0.6.2,ShaiHulud,KOI
@oku-ui/focus-guards,0.6.2,ShaiHulud,KOI
@oku-ui/focus-scope,0.6.2,ShaiHulud,KOI
@oku-ui/hover-card,0.6.2,ShaiHulud,KOI
@oku-ui/label,0.6.2,ShaiHulud,KOI
@oku-ui/menu,0.6.2,ShaiHulud,KOI
@oku-ui/motion,0.4.4,ShaiHulud,KOI
@oku-ui/motion-nuxt,0.2.2,ShaiHulud,KOI
@oku-ui/popover,0.6.2,ShaiHulud,KOI
@oku-ui/popper,0.6.2,ShaiHulud,KOI
@oku-ui/portal,0.6.2,ShaiHulud,KOI
@oku-ui/presence,0.6.2,ShaiHulud,KOI
@oku-ui/primitive,0.6.2,ShaiHulud,KOI
@oku-ui/primitives,0.7.9,ShaiHulud,KOI
@oku-ui/primitives-nuxt,0.3.1,ShaiHulud,KOI
@oku-ui/progress,0.6.2,ShaiHulud,KOI
@oku-ui/provide,0.6.2,ShaiHulud,KOI
@oku-ui/radio-group,0.6.2,ShaiHulud,KOI
@oku-ui/roving-focus,0.6.2,ShaiHulud,KOI
@oku-ui/scroll-area,0.6.2,ShaiHulud,KOI
@oku-ui/separator,0.6.2,ShaiHulud,KOI
@oku-ui/slider,0.6.2,ShaiHulud,KOI
@oku-ui/slot,0.6.2,ShaiHulud,KOI
@oku-ui/switch,0.6.2,ShaiHulud,KOI
@oku-ui/tabs,0.6.2,ShaiHulud,KOI
@oku-ui/toast,0.6.2,ShaiHulud,KOI
@oku-ui/toggle,0.6.2,ShaiHulud,KOI
@oku-ui/toggle-group,0.6.2,ShaiHulud,KOI
@oku-ui/toolbar,0.6.2,ShaiHulud,KOI
@oku-ui/tooltip,0.6.2,ShaiHulud,KOI
@oku-ui/use-composable,0.6.2,ShaiHulud,KOI
@oku-ui/utils,0.6.2,ShaiHulud,KOI
@oku-ui/visually-hidden,0.6.2,ShaiHulud,KOI
@orbitgtbelgium/mapbox-gl-draw-cut-polygon-mode,2.0.5,ShaiHulud,KOI
@orbitgtbelgium/mapbox-gl-draw-scale-rotate-mode,1.1.1,ShaiHulud,KOI
@orbitgtbelgium/orbit-components,1.2.9,ShaiHulud,KOI
@orbitgtbelgium/time-slider,1.0.187,ShaiHulud,KOI
@osmanekrem/bmad,1.0.6,ShaiHulud,KOI
@osmanekrem/error-handler,1.2.2,ShaiHulud,KOI
@pergel/cli,0.11.1,ShaiHulud,KOI
@pergel/module-box,0.6.1,ShaiHulud,KOI
@pergel/module-graphql,0.6.1,ShaiHulud,KOI
@pergel/module-ui,0.0.9,ShaiHulud,KOI
@pergel/nuxt,0.25.5,ShaiHulud,KOI
@posthog/agent,1.24.1,ShaiHulud,KOI
@posthog/ai,7.1.2,ShaiHulud,KOI
@posthog/automatic-cohorts-plugin,0.0.8,ShaiHulud,KOI
@posthog/bitbucket-release-tracker,0.0.8,ShaiHulud,KOI
@posthog/cli,0.5.15,ShaiHulud,KOI
@posthog/clickhouse,1.7.1,ShaiHulud,KOI
@posthog/core,1.5.6,ShaiHulud,KOI
@posthog/currency-normalization-plugin,0.0.8,ShaiHulud,KOI
@posthog/customerio-plugin,0.0.8,ShaiHulud,KOI
@posthog/databricks-plugin,0.0.8,ShaiHulud,KOI
@posthog/drop-events-on-property-plugin,0.0.8,ShaiHulud,KOI
@posthog/event-sequence-timer-plugin,0.0.8,ShaiHulud,KOI
@posthog/filter-out-plugin,0.0.8,ShaiHulud,KOI
@posthog/first-time-event-tracker,0.0.8,ShaiHulud,KOI
@posthog/geoip-plugin,0.0.8,ShaiHulud,KOI
@posthog/github-release-tracking-plugin,0.0.8,ShaiHulud,KOI
@posthog/gitub-star-sync-plugin,0.0.8,ShaiHulud,KOI
@posthog/heartbeat-plugin,0.0.8,ShaiHulud,KOI
@posthog/hedgehog-mode,0.0.42,ShaiHulud,KOI
@posthog/icons,0.36.1,ShaiHulud,KOI
@posthog/ingestion-alert-plugin,0.0.8,ShaiHulud,KOI
@posthog/intercom-plugin,0.0.8,ShaiHulud,KOI
@posthog/kinesis-plugin,0.0.8,ShaiHulud,KOI
@posthog/laudspeaker-plugin,0.0.8,ShaiHulud,KOI
@posthog/lemon-ui,0.0.1,ShaiHulud,KOI
@posthog/maxmind-plugin,0.1.6,ShaiHulud,KOI
@posthog/migrator3000-plugin,0.0.8,ShaiHulud,KOI
@posthog/netdata-event-processing,0.0.8,ShaiHulud,KOI
@posthog/nextjs,0.0.3,ShaiHulud,KOI
@posthog/nextjs-config,1.5.1,ShaiHulud,KOI
@posthog/nuxt,1.2.9,ShaiHulud,KOI
@posthog/pagerduty-plugin,0.0.8,ShaiHulud,KOI
@posthog/piscina,3.2.1,ShaiHulud,KOI
@posthog/plugin-contrib,0.0.6,ShaiHulud,KOI
@posthog/plugin-server,1.10.8,ShaiHulud,KOI
@posthog/plugin-unduplicates,0.0.8,ShaiHulud,KOI
@posthog/postgres-plugin,0.0.8,ShaiHulud,KOI
@posthog/react-rrweb-player,1.1.4,ShaiHulud,KOI
@posthog/rrdom,0.0.31,ShaiHulud,KOI
@posthog/rrweb,0.0.31,ShaiHulud,KOI
@posthog/rrweb-player,0.0.31,ShaiHulud,KOI
@posthog/rrweb-record,0.0.31,ShaiHulud,KOI
@posthog/rrweb-replay,0.0.19,ShaiHulud,KOI
@posthog/rrweb-snapshot,0.0.31,ShaiHulud,KOI
@posthog/rrweb-utils,0.0.31,ShaiHulud,KOI
@posthog/sendgrid-plugin,0.0.8,ShaiHulud,KOI
@posthog/siphash,1.1.2,ShaiHulud,KOI
@posthog/snowflake-export-plugin,0.0.8,ShaiHulud,KOI
@posthog/taxonomy-plugin,0.0.8,ShaiHulud,KOI
@posthog/twilio-plugin,0.0.8,ShaiHulud,KOI
@posthog/twitter-followers-plugin,0.0.8,ShaiHulud,KOI
@posthog/url-normalizer-plugin,0.0.8,ShaiHulud,KOI
@posthog/variance-plugin,0.0.8,ShaiHulud,KOI
@posthog/web-dev-server,1.0.5,ShaiHulud,KOI
@posthog/wizard,1.18.1,ShaiHulud,KOI
@posthog/zendesk-plugin,0.0.8,ShaiHulud,KOI
@postman/csv-parse,4.0.3,ShaiHulud,KOI
@postman/csv-parse,4.0.5,ShaiHulud,KOI
@postman/final-node-keytar,7.9.1,ShaiHulud,KOI
@postman/final-node-keytar,7.9.2,ShaiHulud,KOI
@postman/final-node-keytar,7.9.3,ShaiHulud,KOI
@postman/mcp-ui-client,5.5.1,ShaiHulud,KOI
@postman/mcp-ui-client,5.5.3,ShaiHulud,KOI
@postman/node-keytar,7.9.4,ShaiHulud,KOI
@postman/node-keytar,7.9.6,ShaiHulud,KOI
@postman/pm-bin-linux-x64,1.24.3,ShaiHulud,KOI
@postman/pm-bin-linux-x64,1.24.4,ShaiHulud,KOI
@postman/pm-bin-linux-x64,1.24.5,ShaiHulud,KOI
@postman/pm-bin-macos-arm64,1.24.3,ShaiHulud,KOI
@postman/pm-bin-macos-arm64,1.24.5,ShaiHulud,KOI
@postman/pm-bin-macos-x64,1.24.3,ShaiHulud,KOI
@postman/pm-bin-macos-x64,1.24.5,ShaiHulud,KOI
@postman/pm-bin-windows-x64,1.24.3,ShaiHulud,KOI
@postman/pm-bin-windows-x64,1.24.5,ShaiHulud,KOI
@postman/postman-collection-fork,4.3.3,ShaiHulud,KOI
@postman/postman-collection-fork,4.3.5,ShaiHulud,KOI
@postman/postman-mcp-cli,1.0.3,ShaiHulud,KOI
@postman/postman-mcp-cli,1.0.4,ShaiHulud,KOI
@postman/postman-mcp-cli,1.0.5,ShaiHulud,KOI
@postman/postman-mcp-server,2.4.10,ShaiHulud,KOI
@postman/postman-mcp-server,2.4.12,ShaiHulud,KOI
@postman/pretty-ms,6.1.1,ShaiHulud,KOI
@postman/pretty-ms,6.1.2,ShaiHulud,KOI
@postman/pretty-ms,6.1.3,ShaiHulud,KOI
@postman/secret-scanner-wasm,2.1.3,ShaiHulud,KOI
@postman/secret-scanner-wasm,2.1.4,ShaiHulud,KOI
@postman/tunnel-agent,0.6.5,ShaiHulud,KOI
@postman/tunnel-agent,0.6.7,ShaiHulud,KOI
@postman/wdio-allure-reporter,0.0.7,ShaiHulud,KOI
@postman/wdio-allure-reporter,0.0.9,ShaiHulud,KOI
@postman/wdio-junit-reporter,0.0.4,ShaiHulud,KOI
@postman/wdio-junit-reporter,0.0.5,ShaiHulud,KOI
@postman/wdio-junit-reporter,0.0.6,ShaiHulud,KOI
@pradhumngautam/common-app,1.0.2,ShaiHulud,KOI
@productdevbook/animejs-vue,0.2.1,ShaiHulud,KOI
@productdevbook/auth,0.2.2,ShaiHulud,KOI
@productdevbook/chatwoot,2.0.1,ShaiHulud,KOI
@productdevbook/motion,1.0.4,ShaiHulud,KOI
@productdevbook/ts-i18n,1.4.2,ShaiHulud,KOI
@pruthvi21/use-debounce,1.0.3,ShaiHulud,KOI
@quick-start-soft/quick-document-translator,1.4.2511142126,ShaiHulud,KOI
@quick-start-soft/quick-git-clean-markdown,1.4.2511142126,ShaiHulud,KOI
@quick-start-soft/quick-markdown,1.4.2511142126,ShaiHulud,KOI
@quick-start-soft/quick-markdown-compose,1.4.2506300029,ShaiHulud,KOI
@quick-start-soft/quick-markdown-image,1.4.2511142126,ShaiHulud,KOI
@quick-start-soft/quick-markdown-print,1.4.2511142126,ShaiHulud,KOI
@quick-start-soft/quick-markdown-translator,1.4.2509202331,ShaiHulud,KOI
@quick-start-soft/quick-remove-image-background,1.4.2511142126,ShaiHulud,KOI
@quick-start-soft/quick-task-refine,1.4.2511142126,ShaiHulud,KOI
@relyt/claude-context-core,0.1.1,ShaiHulud,KOI
@relyt/claude-context-mcp,0.1.1,ShaiHulud,KOI
